Micrastur semitorquatus
Microbatrachella capensis
Microhyla fissipes
Mimus gilvus
Mimus polyglottos
Mimus saturninus
Mixornis gularis
Mniotilta varia
Monasa nigrifrons
Motacilla alba
Muntiacus reevesi
Muscicapa striata
Myiarchus crinitus
Myiodynastes maculatus
Myiopagis gaimardii
Myiopsitta monachus
Myiothlypis leucoblephara
Myiozetetes similis
Nectarinia famosa
Nestor meridionalis
Nidirana adenopleura
Ninox boobook
Ninox novaeseelandiae
Ninox scutulata
Ninox strenua
Numida meleagris
Nyctibius griseus
Nyctidromus albicollis
Oecanthus pellucens
Onychognathus morio
Oriolus chinensis
Oriolus larvatus
Oriolus oriolus
Oriolus sagittatus
Orthotomus ruficeps
Orthotomus sutorius
Otus lettia
Otus scops
Otus senegalensis
Otus spilocephalus
Otus sunia
Ovis aries
Pachycephala pectoralis
Pachycephala rufiventris
Parabuteo unicinctus
Pardalotus punctatus
Pardalotus striatus
Pardirallus sanguinolentus
Parus cinereus
Parus major
Passer domesticus
Passer montanus
Passerina cyanea
Patagioenas picazuro
Pelodryas caerulea
Pelophylax nigromaculatus
Pengilleyia peronii
Periparus ater
Petroica australis
Petroica macrocephala
Phaps chalcoptera
Phascolarctos cinereus
Philemon corniculatus
Phoeniculus purpureus
Phoenicurus ochruros
Phoenicurus phoenicurus
Phrynobatrachus natalensis
Phylidonyris novaehollandiae
Phylidonyris pyrrhopterus
Phyllastrephus terrestris
Phylloscopus collybita
Phylloscopus sibilatrix
Phylloscopus trochiloides
Phylloscopus trochilus
Pica pica
Picus viridis
Pipilo erythrophthalmus
Pipilo maculatus
Pipistrellus pipistrellus
Piranga olivacea
Piranga rubra
Pitangus sulphuratus
Planopleura kaempferi
Platycercus elegans
Podargus strigoides
Poecile atricapillus
Poecile carolinensis
Poecile montanus
Poecile palustris
Pogoniulus bilineatus
Pogoniulus pusillus
Polioptila caerulea
Pomatorhinus musicus
Popplepsalta notialis
Prinia flaviventris
Prinia maculosa
Prinia subflava
Procnias nudicollis
Prosthemadera novaeseelandiae
Prunella modularis
Psaltoda harrisii
Psaltoda moerens
Psaltoda plaga
Pseudacris crucifer
Pseudacris feriarum
Pseudacris maculata
Pseudacris regilla
Psilopogon haemacephalus
Psilopogon lineatus
Psilopogon nuchalis
Psilopogon viridis
Psittacara leucophthalmus
Psittacula krameri
Psophodes olivaceus
Pternistis natalensis
Pterophylla camellifolia
Ptilonorhynchus violaceus
Ptychadena anchietae
Pycnonotus barbatus
Pycnonotus cafer
Pycnonotus capensis
Pycnonotus goiavier
Pycnonotus jocosus
Pycnonotus sinensis
Pyrrhula pyrrhula
Quesada gigas
Quiscalus mexicanus
Quiscalus quiscula
Rallus aquaticus
Ramphastos ambiguus
Ramphastos dicolorus
Ramphastos tucanus
Ramphastos vitellinus
Rawlinsonia ewingii
Regulus ignicapilla
Regulus regulus
Regulus satrapa
Rhipidura albiscapa
Rhipidura fuliginosa
Rhipidura leucophrys
Rhytipterna simplex
Rupornis magnirostris
Saltator aurantiirostris
Saltator coerulescens
Saltator similis
Sarothrura elegans
